Procedure date,Patient...2,MRN,D.O.B.,Age (days),Age (months) - days/30,Species,Procedure time (min),Total fluoro time (sec),ID,Weight,Procedure,Time,RADPAD,Patient_DAP,Occupation,Dose
2021-10-27T00:00:00Z,Riddler,265286,2021-06-20T00:00:00Z,129,4.3,Canine,90,1265,1,11.3,BPV,21.08333333,N,13,Faculty,9.04
2021-10-27T00:00:00Z,Riddler,265286,2021-06-20T00:00:00Z,129,4.3,Canine,90,1265,1,11.3,BPV,21.08333333,N,13,Tech 1,0.21
2021-10-27T00:00:00Z,Riddler,265286,2021-06-20T00:00:00Z,129,4.3,Canine,90,1265,1,11.3,BPV,21.08333333,N,13,Resident 1,110.11
2021-10-27T00:00:00Z,Riddler,265286,2021-06-20T00:00:00Z,129,4.3,Canine,90,1265,1,11.3,BPV,21.08333333,N,13,Resident 2,0.64
2021-10-27T00:00:00Z,Riddler,265286,2021-06-20T00:00:00Z,129,4.3,Canine,90,1265,1,11.3,BPV,21.08333333,N,13,Anesthesia,3.71
2021-10-30T00:00:00Z,Zoie,341157,2013-03-08T00:00:00Z,3158,105.2666667,Canine,53,317,2,5.3,PMI,5.283333333,N,0.91,Faculty,1.43
2021-10-30T00:00:00Z,Zoie,341157,2013-03-08T00:00:00Z,3158,105.2666667,Canine,53,317,2,5.3,PMI,5.283333333,N,0.91,Resident 1,16.53
2021-10-30T00:00:00Z,Zoie,341157,2013-03-08T00:00:00Z,3158,105.2666667,Canine,53,317,2,5.3,PMI,5.283333333,N,0.91,Anesthesia,0.33
2021-11-03T00:00:00Z,Archer,266052,2020-12-26T00:00:00Z,312,10.4,Canine,90,1068,3,15.3,BPV,17.8,N,6.7,Faculty,2.97
2021-11-03T00:00:00Z,Archer,266052,2020-12-26T00:00:00Z,312,10.4,Canine,90,1068,3,15.3,BPV,17.8,N,6.7,Tech 1,0
2021-11-03T00:00:00Z,Archer,266052,2020-12-26T00:00:00Z,312,10.4,Canine,90,1068,3,15.3,BPV,17.8,N,6.7,Resident 1,32.87
2021-11-03T00:00:00Z,Archer,266052,2020-12-26T00:00:00Z,312,10.4,Canine,90,1068,3,15.3,BPV,17.8,N,6.7,Resident 2,0.49
2021-11-03T00:00:00Z,Archer,266052,2020-12-26T00:00:00Z,312,10.4,Canine,90,1068,3,15.3,BPV,17.8,N,6.7,Anesthesia,25.5
2021-11-04T00:00:00Z,Einstein,266908,2009-11-04T00:00:00Z,4383,146.1,Canine,66,102,4,36.1,PMI,1.7,N,4.7,Faculty,6.76
2021-11-04T00:00:00Z,Einstein,266908,2009-11-04T00:00:00Z,4383,146.1,Canine,66,102,4,36.1,PMI,1.7,N,4.7,Tech 1,0
2021-11-04T00:00:00Z,Einstein,266908,2009-11-04T00:00:00Z,4383,146.1,Canine,66,102,4,36.1,PMI,1.7,N,4.7,Resident 1,25.71
2021-11-04T00:00:00Z,Einstein,266908,2009-11-04T00:00:00Z,4383,146.1,Canine,66,102,4,36.1,PMI,1.7,N,4.7,Anesthesia,0
2021-11-10T00:00:00Z,Blake,266575,2021-01-01T00:00:00Z,313,10.43333333,Canine,55,549,5,21.9,BPV,9.15,N,2.6,Faculty,2.77
2021-11-10T00:00:00Z,Blake,266575,2021-01-01T00:00:00Z,313,10.43333333,Canine,55,549,5,21.9,BPV,9.15,N,2.6,Tech 1,0.25
2021-11-10T00:00:00Z,Blake,266575,2021-01-01T00:00:00Z,313,10.43333333,Canine,55,549,5,21.9,BPV,9.15,N,2.6,Resident 1,21.65
2021-11-10T00:00:00Z,Blake,266575,2021-01-01T00:00:00Z,313,10.43333333,Canine,55,549,5,21.9,BPV,9.15,N,2.6,Resident 2,1.84
2021-11-10T00:00:00Z,Blake,266575,2021-01-01T00:00:00Z,313,10.43333333,Canine,55,549,5,21.9,BPV,9.15,N,2.6,TEE,9.25
2021-11-10T00:00:00Z,Blake,266575,2021-01-01T00:00:00Z,313,10.43333333,Canine,55,549,5,21.9,BPV,9.15,N,2.6,Anesthesia,18.39
2021-11-12T00:00:00Z,Cleo,267139,2016-11-11T00:00:00Z,1827,60.9,Canine,106,222,6,28.8,PMI,3.7,N,5.8,Faculty,9.89
2021-11-12T00:00:00Z,Cleo,267139,2016-11-11T00:00:00Z,1827,60.9,Canine,106,222,6,28.8,PMI,3.7,N,5.8,Tech 1,0.11
2021-11-12T00:00:00Z,Cleo,267139,2016-11-11T00:00:00Z,1827,60.9,Canine,106,222,6,28.8,PMI,3.7,N,5.8,Resident 1,30.12
2021-11-12T00:00:00Z,Cleo,267139,2016-11-11T00:00:00Z,1827,60.9,Canine,106,222,6,28.8,PMI,3.7,N,5.8,Anesthesia,4.83
2021-11-24T00:00:00Z,Bailey,267287,2021-07-24T00:00:00Z,123,4.1,Canine,65,339,7,3.4,PDA,5.65,N,0.97,Faculty,0.2
2021-11-24T00:00:00Z,Bailey,267287,2021-07-24T00:00:00Z,123,4.1,Canine,65,339,7,3.4,PDA,5.65,N,0.97,Tech 1,0.02
2021-11-24T00:00:00Z,Bailey,267287,2021-07-24T00:00:00Z,123,4.1,Canine,65,339,7,3.4,PDA,5.65,N,0.97,Resident 1,5.74
2021-11-24T00:00:00Z,Bailey,267287,2021-07-24T00:00:00Z,123,4.1,Canine,65,339,7,3.4,PDA,5.65,N,0.97,Resident 2,0.1
2021-11-24T00:00:00Z,Bailey,267287,2021-07-24T00:00:00Z,123,4.1,Canine,65,339,7,3.4,PDA,5.65,N,0.97,TEE,1.07
2021-11-24T00:00:00Z,Bailey,267287,2021-07-24T00:00:00Z,123,4.1,Canine,65,339,7,3.4,PDA,5.65,N,0.97,Anesthesia,0.87
2021-12-01T00:00:00Z,Niko,1086650,2021-08-22T00:00:00Z,101,3.366666667,Canine,40,318,8,3.2,BPV,5.3,N,0.9,Faculty,2.97
2021-12-01T00:00:00Z,Niko,1086650,2021-08-22T00:00:00Z,101,3.366666667,Canine,40,318,8,3.2,BPV,5.3,N,0.9,Tech 1,0.05
2021-12-01T00:00:00Z,Niko,1086650,2021-08-22T00:00:00Z,101,3.366666667,Canine,40,318,8,3.2,BPV,5.3,N,0.9,Resident 1,19.78
2021-12-01T00:00:00Z,Niko,1086650,2021-08-22T00:00:00Z,101,3.366666667,Canine,40,318,8,3.2,BPV,5.3,N,0.9,Resident 2,0.03
2021-12-01T00:00:00Z,Niko,1086650,2021-08-22T00:00:00Z,101,3.366666667,Canine,40,318,8,3.2,BPV,5.3,N,0.9,Anesthesia,1.51
2021-12-15T00:00:00Z,Margo,267046,2021-07-23T00:00:00Z,145,4.833333333,Canine,120,425,9,4.2,BPV,7.083333333,N,2.2,Faculty,0.13
2021-12-15T00:00:00Z,Margo,267046,2021-07-23T00:00:00Z,145,4.833333333,Canine,120,425,9,4.2,BPV,7.083333333,N,2.2,Tech 1,0.16
2021-12-15T00:00:00Z,Margo,267046,2021-07-23T00:00:00Z,145,4.833333333,Canine,120,425,9,4.2,BPV,7.083333333,N,2.2,Resident 1,11.63
2021-12-15T00:00:00Z,Margo,267046,2021-07-23T00:00:00Z,145,4.833333333,Canine,120,425,9,4.2,BPV,7.083333333,N,2.2,Resident 2,1.07
2021-12-15T00:00:00Z,Margo,267046,2021-07-23T00:00:00Z,145,4.833333333,Canine,120,425,9,4.2,BPV,7.083333333,N,2.2,Anesthesia,5.28
2021-12-22T00:00:00Z,Prudence,268396,2015-11-21T00:00:00Z,2223,74.1,Canine,123,267,10,20.4,PMI,4.45,N,3.2,Faculty,1.05
2021-12-22T00:00:00Z,Prudence,268396,2015-11-21T00:00:00Z,2223,74.1,Canine,123,267,10,20.4,PMI,4.45,N,3.2,Tech 1,0
2021-12-22T00:00:00Z,Prudence,268396,2015-11-21T00:00:00Z,2223,74.1,Canine,123,267,10,20.4,PMI,4.45,N,3.2,Resident 1,37.32
2021-12-22T00:00:00Z,Prudence,268396,2015-11-21T00:00:00Z,2223,74.1,Canine,123,267,10,20.4,PMI,4.45,N,3.2,Resident 2,1.12
2021-12-22T00:00:00Z,Prudence,268396,2015-11-21T00:00:00Z,2223,74.1,Canine,123,267,10,20.4,PMI,4.45,N,3.2,TEE,3.92
2021-12-22T00:00:00Z,Prudence,268396,2015-11-21T00:00:00Z,2223,74.1,Canine,123,267,10,20.4,PMI,4.45,N,3.2,Anesthesia,0.56
2021-12-29T00:00:00Z,Wile E,268555,2021-01-23T00:00:00Z,340,11.33333333,Canine,70,368,11,19.9,PDA,6.133333333,N,8.2,Faculty,3.43
2021-12-29T00:00:00Z,Wile E,268555,2021-01-23T00:00:00Z,340,11.33333333,Canine,70,368,11,19.9,PDA,6.133333333,N,8.2,Tech 1,0.12
2021-12-29T00:00:00Z,Wile E,268555,2021-01-23T00:00:00Z,340,11.33333333,Canine,70,368,11,19.9,PDA,6.133333333,N,8.2,Resident 1,9.27
2021-12-29T00:00:00Z,Wile E,268555,2021-01-23T00:00:00Z,340,11.33333333,Canine,70,368,11,19.9,PDA,6.133333333,N,8.2,Resident 2,1.36
2021-12-29T00:00:00Z,Wile E,268555,2021-01-23T00:00:00Z,340,11.33333333,Canine,70,368,11,19.9,PDA,6.133333333,N,8.2,TEE,2.17
2021-12-29T00:00:00Z,Wile E,268555,2021-01-23T00:00:00Z,340,11.33333333,Canine,70,368,11,19.9,PDA,6.133333333,N,8.2,Anesthesia,12.19
2022-01-05T00:00:00Z,Kobra,268314,2020-05-23T00:00:00Z,592,19.73333333,Canine,94,212,12,4.5,PDA,3.533333333,N,1.5,Faculty,1.2
